Feature ID	kingdom	phylum	class	order	family	genus	species
9a1406c44052c3317f2cddd904abd406	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
13dabc3a4d5cb26be2b7af27bde99dc0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
32c06456c8da66c9d548834465b6c0b5	Bacteria	Proteobacteria	Gammaproteobacteria				
a323ffbe728ed1895e0df4eaacb832c6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	D05-2	D05-2	uncultured_bacterium
6b974b71439e8e60971e0217c47a7a55	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured	
21abfbe23999511f0814472eb08c4110	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	uncultured	uncultured_bacterium
1cfe543e4fd5ca636a4ab851bcebdbd3	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae		
34999942e44a88ba053982c849c775e8	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
605fcbc941036d92f11aaa0d7ff85e84	Bacteria	Myxococcota	Polyangia	Polyangiales	BIrii41	BIrii41	
067c50419232849278878620d8ced83d	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
a94403beb17657f066494b4b7e5418af	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
18557cce317ab124e072c79b982040ab	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
2698e2601da0f253da1129ace341f25c	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	
e65fd6cb43ba5456a8efeec555b5f32c	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
f549b2e7bd06584ae6cb689a701b30bb	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Umezawaea	
