#OTU ID	C001.extendedFrags.fastq.gz	C002.extendedFrags.fastq.gz	C003.extendedFrags.fastq.gz	C004.extendedFrags.fastq.gz	C005.extendedFrags.fastq.gz	C006.extendedFrags.fastq.gz	C007.extendedFrags.fastq.gz	C008.extendedFrags.fastq.gz
2b45f8a8caea1e76605d0b163a7de06c	20	15	16	7	19	24	27	29
90c6e1e77c9ebc49477b7efb7c1878e7	16	27	15	21	27	33	0	17
ec531120f5cac94f1762e1330b19da07	24	0	0	0	63	51	18	0
73fe300faf4ecc7933b1553273f29c59	23	21	13	29	18	13	13	25
7e59f6a1cb815d5c28f86aa6b168c62f	15	17	23	34	21	17	27	0
47d2c9d8291e45849337596dce3145ac	18	11	27	16	20	20	20	22
c93c75807211352890e16db883f68fe7	12	25	34	20	14	22	10	16
0fe1c21111f46189729afc5b95a40720	8	19	59	25	14	14	0	14
7ccdb626a4a84a069fc201c5544f5b50	0	0	0	7	0	26	44	75
70528e1dd1b04339b4bed5df4327b2f7	12	25	18	15	22	25	20	14
24102cf42a0127851067e8fd59f3265c	19	9	30	34	16	24	5	13
0554751e14fa37d221a99fd9fb77cb6d	20	5	24	10	12	20	19	40
cf992dfcf480eaec07d67d81ebaf9c09	31	21	16	23	16	13	9	20
ab6d6f5b53a61f7bdd20a0d583b926da	19	25	18	24	0	32	18	13
e2920224d841d3cc260679ca631994fc	14	11	18	18	16	9	30	33
b4d1733bb152d785076818a58120a1ca	13	0	20	26	8	20	35	25
b6cbb8ea416f5fae8f8ee0c8b5d8b55f	24	22	16	17	16	31	21	0
d20e546b8f89f0cc38b9118b1f0d82a7	15	20	16	11	25	18	15	26
9a9524210a520a8076c99c633d0cb424	0	26	20	24	13	16	24	20
d4182dc499787b3cb721c978a8ed19c7	16	14	20	17	24	13	21	14
f53ad243edbcd0ddfc1113abd86c75e2	18	11	15	10	19	22	19	24
03fcd4d86224a08762cf243ea1a2167c	20	25	12	0	13	20	18	29
765f91912a540648b78c620b055118b0	14	28	22	20	8	16	14	14
57005f409a97d0d6655f5530c9fd573f	22	16	20	10	22	17	15	13
0f1b9c7bd0bda6bd03c7b56ec376df10	14	21	29	15	21	17	6	12
f88e14efd8507dd034041aa24c5b22d3	17	18	17	14	16	17	17	18
5a29ace74944187e0e4fa429f95604c9	23	7	15	20	21	14	21	13
15f49e2c34b5f8ff6799432f098b301a	13	15	18	16	20	20	11	19
e6a08693f4713b8a29dac219e31a5661	28	0	5	17	33	0	25	22
21277cba31d485c380185f9eaf5935a4	20	14	0	0	26	0	29	38
3e04ccded3f89a7bf119d48e5be6e03f	9	23	29	19	8	10	15	14
5d03ef6199933fb07feb22c6698b7bfb	11	19	18	24	16	16	5	17
202157acc9eb7e86929afb9b486f4dc5	7	26	17	23	10	17	0	26
6dfdc6a1cee51639e4ebe56869254464	11	26	19	12	18	13	14	12
8124e6f31981695147d28e004dc89ab4	19	22	13	18	22	24	7	0
9327836bb3f4cc4af0f25b6672931b42	16	20	22	22	27	0	0	18
32a24259f2dc25552e49ce9cf09c46ce	18	9	16	24	15	12	19	11
db4402ec53293ea23e1971adffcec731	17	14	17	17	0	12	27	20
0961419c00b40bc7a188e2d1650906c9	24	0	20	14	12	9	32	13
b161cc1def501c2e5103e1f8940a7eb7	21	22	22	20	13	11	0	13
9601ca2bb4adfcd2d3181084191c8f10	0	18	28	24	32	14	6	0
fbb9eb559e4b778c68138fe733633c74	6	0	10	9	17	23	30	26
5bb90f8b082d03169cd19e53c45cb52a	0	0	59	0	6	5	43	8
888d7864b3999f8cfb798aee7d5b3a3d	11	21	0	16	20	11	27	13
cb379c9c77dd77d2b97b4be9ea7750af	17	0	21	15	22	22	13	9
d75d09b1e93425280f035e0f01cdac99	21	14	22	13	18	13	12	5
0ab5a1087e3d457e06e8be6d8febbfd3	6	19	19	13	13	18	16	14
2d1a7d3dae89b660f13d13601436f1cb	19	9	18	0	18	8	22	23
